feature,importance_weight,importance_gain,importance_cover
bps,1265.0,990.6828002929688,2960.049072265625
eps,263.0,474.91595458984375,1078.8751220703125
net_margin,228.0,220.061279296875,2006.2210693359375
beta,1217.0,156.26968383789062,1531.355224609375
industry_scope_ratio,2.0,108.05911254882812,335.4106140136719
total_assets_yoy,692.0,95.65000915527344,816.0242919921875
domestic_value_added_ratio,71.0,86.50700378417969,413.3160095214844
sentiment_mean,237.0,84.34239196777344,663.9760131835938
total_equity_yoy,455.0,80.39089965820312,670.8798217773438
equity_to_assets,315.0,79.71525573730469,317.5115661621094
supply_chain_ratio,17.0,79.26465606689453,167.86163330078125
interest_coverage,384.0,78.65092468261719,461.542724609375
intangible_ratio,937.0,72.99461364746094,420.8914794921875
compliance_ratio,331.0,72.41686248779297,1058.7735595703125
max_drawdown,507.0,70.58158874511719,776.9716186523438
clustering,481.0,66.28417205810547,581.206298828125
log_return,512.0,62.22553253173828,514.3825073242188
cash_ratio,637.0,61.38874053955078,440.6817626953125
neg_ratio,125.0,61.32520294189453,1103.4136962890625
trade_balance,58.0,59.15874481201172,575.4418334960938
inventory_ratio,768.0,58.741214752197266,413.2388610839844
receivables_ratio,691.0,58.62342834472656,370.55780029296875
roa,168.0,58.38642120361328,582.918212890625
betweenness,402.0,57.202083587646484,334.88262939453125
import_dependency,509.0,55.18904113769531,805.4360961914062
import_share,308.0,55.05869674682617,388.71417236328125
free_cf,431.0,54.61441421508789,373.7356872558594
total_liabilities_yoy,444.0,54.575721740722656,460.9814758300781
debt_to_equity,212.0,52.375518798828125,348.51806640625
weighted_in_degree,324.0,51.534385681152344,397.8372497558594
ebitda_margin,211.0,51.463626861572266,248.2803192138672
operating_margin,171.0,51.101318359375,332.6093444824219
shibor_1y,16.0,50.643455505371094,127.10897827148438
current_ratio,223.0,50.35995864868164,304.0998229980469
import,214.0,49.48503112792969,352.8802185058594
admin_expense_ratio,731.0,48.25131607055664,410.27923583984375
parent_netprofit_yoy,230.0,48.04132080078125,933.9559326171875
sale_expense_ratio,630.0,47.655845642089844,338.6102294921875
fixed_asset_ratio,744.0,47.26170349121094,369.13262939453125
working_capital_to_assets,340.0,47.05233383178711,307.4818115234375
equity_multiplier,12.0,46.43252182006836,583.3585815429688
backward_linkage,428.0,45.22186279296875,328.1334228515625
finance_expense_ratio,491.0,45.1157341003418,427.314208984375
weighted_out_degree,521.0,44.74163055419922,466.5640869140625
cpi_yoy,110.0,44.57025909423828,425.4171447753906
roe,258.0,44.4576416015625,403.58697509765625
us_tariff_rate,378.0,44.201873779296875,321.23675537109375
receivable_turnover,269.0,44.01277542114258,323.61029052734375
long_term_debt_ratio,589.0,43.16133499145508,321.4391174316406
cf_to_assets,249.0,42.94039535522461,383.992919921875
equity_turnover,334.0,42.64077377319336,815.4342041015625
debt_to_assets,307.0,42.575435638427734,591.3853149414062
volatility,699.0,42.4918327331543,532.5075073242188
pagerank,264.0,41.7839241027832,388.4376220703125
asset_turnover,256.0,41.675296783447266,270.3351745605469
quick_ratio,245.0,41.22922134399414,367.68231201171875
us_tariff_yoy,252.0,40.85995101928711,214.7052764892578
cf_to_netprofit,299.0,40.72553634643555,196.34646606445312
export,48.0,40.0037727355957,592.6024780273438
cf_to_revenue,236.0,39.79323959350586,172.72703552246094
us_tariff_baseline_2017,115.0,39.67951583862305,251.47103881835938
overseas_rev_mean,212.0,39.6219596862793,227.94093322753906
event_count,71.0,39.59262466430664,1205.0277099609375
financial_ratio,82.0,39.00486373901367,183.15724182128906
gdp_yoy,173.0,38.07921600341797,604.9676513671875
revenue_yoy,271.0,38.04046630859375,275.0987243652344
research_expense_ratio,736.0,37.95826721191406,420.39923095703125
import_yoy,246.0,37.551856994628906,316.3841857910156
goodwill_ratio,632.0,37.5482177734375,294.2867126464844
operate_profit_yoy,182.0,37.318119049072266,529.9879760742188
overseas_rev_p75,203.0,37.16669464111328,210.08775329589844
overseas_rev_median,160.0,36.25713348388672,174.15748596191406
gross_margin,411.0,36.08370590209961,328.59576416015625
shibor_1m,59.0,35.8704948425293,222.5325927734375
inventory_turnover,239.0,34.885684967041016,283.0644836425781
m2_yoy,68.0,34.68230056762695,138.1344757080078
cf_to_debt,219.0,34.64590835571289,211.6649932861328
operating_cf_yoy,278.0,33.351097106933594,319.0182800292969
pmi,71.0,32.86981201171875,143.9213104248047
shibor_on,46.0,32.86688995361328,141.3079833984375
financing_impact_ratio,48.0,31.657060623168945,164.72293090820312
netprofit_yoy,245.0,30.487009048461914,281.75433349609375
export_share,42.0,29.853370666503906,640.0365600585938
sentiment_volatility,38.0,28.266887664794922,379.7908630371094
shero,57.0,23.381359100341797,274.3163757324219
export_yoy,0.0,0.0,0.0
